bulan,status_data,kwh_salur,kwh_jual,target_persen,porsi_teknis
1,REALISASI,19845320,18402565,6.9,0.512
2,REALISASI,18932410,17597675,6.75,0.52
3,REALISASI,20114780,18726860,6.6,0.53
4,REALISASI,20556905,19189871,6.45,0.545
5,REALISASI,21203640,19848727,6.3,0.556
6,REALISASI,20874115,19592444,6.15,0.568
7,REALISASI,21446980,20147293,6.05,0.575
8,REALISASI,21702355,20393703,5.95,0.582
9,PROYEKSI,21540900,20265679,5.92,0.586
10,PROYEKSI,21890450,20598913,5.9,0.59
11,PROYEKSI,22105780,20808171,5.87,0.593
12,PROYEKSI,22480310,21165212,5.85,0.596
