kunci,nilai,satuan,keterangan
tarif_rata_rata,1462.5,Rp/kWh,Harga jual rata-rata untuk konversi kWh ke Rupiah
target_susut_akhir_tahun,5.85,%,Target susut jaringan distribusi akhir tahun (RKAP)
baseline_susut_2025,7.12,%,Realisasi susut tahun sebelumnya
floor_susut_teknis,3.3,%,Batas bawah susut teknis yang realistis pada jaringan eksisting
ambang_tercapai,100.0,%,Ambang status TERCAPAI
ambang_waspada,90.0,%,Ambang status WASPADA
ambang_terlambat,75.0,%,Ambang status TERLAMBAT
jumlah_pelanggan,61482,pelanggan,Jumlah pelanggan terpasang
jumlah_gardu,574,unit,Jumlah gardu distribusi
jumlah_penyulang,10,unit,Jumlah penyulang 20 kV
panjang_jtm_kms,612.4,kms,Panjang jaringan tegangan menengah
panjang_jtr_kms,848.9,kms,Panjang jaringan tegangan rendah
