program_kode,bulan,target_volume,realisasi_volume
T-01,1,15.0,16.03
T-01,2,15.0,16.27
T-01,3,15.0,14.78
T-01,4,15.0,18.37
T-01,5,15.0,14.77
T-01,6,15.0,15.24
T-01,7,15.0,14.52
T-01,8,15.0,17.23
T-01,9,15.0,
T-01,10,15.0,
T-01,11,15.0,
T-01,12,15.0,
T-02,1,0.49,0.39
T-02,2,1.23,0.76
T-02,3,2.69,1.9
T-02,4,1.23,0.95
T-02,5,1.72,1.29
T-02,6,2.94,1.88
T-02,7,1.23,0.9
T-02,8,1.72,1.34
T-02,9,3.19,
T-02,10,1.96,
T-02,11,2.69,
T-02,12,3.43,
T-03,1,0.24,0.14
T-03,2,0.6,0.36
T-03,3,1.32,0.73
T-03,4,0.6,0.38
T-03,5,0.84,0.48
T-03,6,1.44,0.85
T-03,7,0.6,0.3
T-03,8,0.84,0.51
T-03,9,1.56,
T-03,10,0.96,
T-03,11,1.32,
T-03,12,1.68,
T-04,1,120.83,99.46
T-04,2,120.83,102.33
T-04,3,120.83,111.2
T-04,4,120.83,99.22
T-04,5,120.83,89.57
T-04,6,120.83,85.32
T-04,7,120.83,120.11
T-04,8,120.83,95.13
T-04,9,120.83,
T-04,10,120.83,
T-04,11,120.83,
T-04,12,120.83,
T-05,1,0.0,0.0
T-05,2,0.12,0.06
T-05,3,0.36,0.16
T-05,4,0.54,0.28
T-05,5,0.72,0.37
T-05,6,0.96,0.52
T-05,7,0.24,0.12
T-05,8,0.42,0.18
T-05,9,0.6,
T-05,10,0.72,
T-05,11,0.6,
T-05,12,0.72,
T-06,1,0.0,0.0
T-06,2,0.16,0.08
T-06,3,0.48,0.26
T-06,4,0.72,0.31
T-06,5,0.96,0.41
T-06,6,1.28,0.49
T-06,7,0.32,0.14
T-06,8,0.56,0.29
T-06,9,0.8,
T-06,10,0.96,
T-06,11,0.8,
T-06,12,0.96,
T-07,1,51.67,53.23
T-07,2,51.67,49.68
T-07,3,51.67,50.44
T-07,4,51.67,44.44
T-07,5,51.67,45.84
T-07,6,51.67,51.45
T-07,7,51.67,47.29
T-07,8,51.67,50.3
T-07,9,51.67,
T-07,10,51.67,
T-07,11,51.67,
T-07,12,51.67,
T-08,1,0.9,0.79
T-08,2,2.25,1.38
T-08,3,4.95,3.1
T-08,4,2.25,1.67
T-08,5,3.15,2.07
T-08,6,5.4,3.38
T-08,7,2.25,1.82
T-08,8,3.15,2.07
T-08,9,5.85,
T-08,10,3.6,
T-08,11,4.95,
T-08,12,6.3,
T-09,1,20.0,22.79
T-09,2,20.0,18.08
T-09,3,20.0,21.67
