penyulang_kode,bulan,susut_persen
SBJ-01,1,9.706
SBJ-01,2,9.328
SBJ-01,3,9.184
SBJ-01,4,8.88
SBJ-01,5,8.589
SBJ-01,6,7.938
SBJ-01,7,7.993
SBJ-01,8,8.089
SBJ-02,1,8.981
SBJ-02,2,8.643
SBJ-02,3,8.469
SBJ-02,4,8.243
SBJ-02,5,7.93
SBJ-02,6,7.661
SBJ-02,7,7.611
SBJ-02,8,7.311
SBJ-03,1,8.343
SBJ-03,2,8.117
SBJ-03,3,7.759
SBJ-03,4,7.745
SBJ-03,5,7.151
SBJ-03,6,7.159
SBJ-03,7,7.046
SBJ-03,8,6.833
SBJ-04,1,7.699
SBJ-04,2,7.498
SBJ-04,3,7.377
SBJ-04,4,7.141
SBJ-04,5,6.748
SBJ-04,6,6.614
SBJ-04,7,6.379
SBJ-04,8,6.523
SBJ-05,1,7.27
SBJ-05,2,6.937
SBJ-05,3,6.691
SBJ-05,4,6.49
SBJ-05,5,6.347
SBJ-05,6,6.112
SBJ-05,7,5.971
SBJ-05,8,6.018
SBJ-06,1,6.702
SBJ-06,2,6.696
SBJ-06,3,6.311
SBJ-06,4,6.131
SBJ-06,5,6.083
SBJ-06,6,5.76
SBJ-06,7,5.553
SBJ-06,8,5.648
SBJ-07,1,6.47
SBJ-07,2,6.187
SBJ-07,3,6.142
SBJ-07,4,5.9
SBJ-07,5,5.587
SBJ-07,6,5.367
SBJ-07,7,5.327
SBJ-07,8,5.263
SBJ-08,1,6.06
SBJ-08,2,6.057
SBJ-08,3,5.739
SBJ-08,4,5.673
SBJ-08,5,5.367
SBJ-08,6,5.26
SBJ-08,7,5.038
SBJ-08,8,5.059
SBJ-09,1,5.855
SBJ-09,2,5.649
SBJ-09,3,5.613
SBJ-09,4,5.351
SBJ-09,5,5.231
SBJ-09,6,4.941
SBJ-09,7,4.827
SBJ-09,8,4.756
SBJ-10,1,5.469
SBJ-10,2,5.168
SBJ-10,3,5.19
SBJ-10,4,4.982
SBJ-10,5,4.768
SBJ-10,6,4.548
SBJ-10,7,4.444
SBJ-10,8,4.467
