program_kode,bulan,target_volume,realisasi_volume
T-01,1,,
T-01,2,,
T-01,3,,
T-01,4,,
T-01,5,,
T-01,6,,
T-01,7,,
T-01,8,,
T-01,9,,
T-01,10,,
T-01,11,,
T-01,12,,
T-02,1,,
T-02,2,,
T-02,3,,
T-02,4,,
T-02,5,,
T-02,6,,
T-02,7,,
T-02,8,,
T-02,9,,
T-02,10,,
T-02,11,,
T-02,12,,
T-03,1,,
T-03,2,,
T-03,3,,
T-03,4,,
T-03,5,,
T-03,6,,
T-03,7,,
T-03,8,,
T-03,9,,
T-03,10,,
T-03,11,,
T-03,12,,
T-04,1,,
T-04,2,,
T-04,3,,
T-04,4,,
T-04,5,,
T-04,6,,
T-04,7,,
T-04,8,,
T-04,9,,
T-04,10,,
T-04,11,,
T-04,12,,
T-05,1,,
T-05,2,,
T-05,3,,
T-05,4,,
T-05,5,,
T-05,6,,
T-05,7,,
T-05,8,,
T-05,9,,
T-05,10,,
T-05,11,,
T-05,12,,
T-06,1,,
T-06,2,,
T-06,3,,
T-06,4,,
T-06,5,,
T-06,6,,
T-06,7,,
T-06,8,,
T-06,9,,
T-06,10,,
T-06,11,,
T-06,12,,
T-07,1,,
T-07,2,,
T-07,3,,
T-07,4,,
T-07,5,,
T-07,6,,
T-07,7,,
T-07,8,,
T-07,9,,
T-07,10,,
T-07,11,,
T-07,12,,
T-08,1,,
T-08,2,,
T-08,3,,
T-08,4,,
T-08,5,,
T-08,6,,
T-08,7,,
T-08,8,,
T-08,9,,
T-08,10,,
T-08,11,,
T-08,12,,
T-09,1,,
T-09,2,,
T-09,3,,
T-09,4,,
T-09,5,,
T-09,6,,
T-09,7,,
T-09,8,,
T-09,9,,
T-09,10,,
T-09,11,,
T-09,12,,
T-10,1,,
T-10,2,,
T-10,3,,
T-10,4,,
T-10,5,,
T-10,6,,
T-10,7,,
T-10,8,,
T-10,9,,
T-10,10,,
T-10,11,,
T-10,12,,
N-01,1,,
N-01,2,,
N-01,3,,
N-01,4,,
N-01,5,,
N-01,6,,
N-01,7,,
N-01,8,,
N-01,9,,
N-01,10,,
N-01,11,,
N-01,12,,
N-02,1,,
N-02,2,,
N-02,3,,
N-02,4,,
N-02,5,,
N-02,6,,
N-02,7,,
N-02,8,,
N-02,9,,
N-02,10,,
N-02,11,,
N-02,12,,
N-03,1,,
N-03,2,,
N-03,3,,
N-03,4,,
N-03,5,,
N-03,6,,
N-03,7,,
N-03,8,,
N-03,9,,
N-03,10,,
N-03,11,,
N-03,12,,
N-04,1,,
N-04,2,,
N-04,3,,
N-04,4,,
N-04,5,,
N-04,6,,
N-04,7,,
N-04,8,,
N-04,9,,
N-04,10,,
N-04,11,,
N-04,12,,
N-05,1,,
N-05,2,,
N-05,3,,
N-05,4,,
N-05,5,,
N-05,6,,
N-05,7,,
N-05,8,,
N-05,9,,
N-05,10,,
N-05,11,,
N-05,12,,
N-06,1,,
N-06,2,,
N-06,3,,
N-06,4,,
N-06,5,,
N-06,6,,
N-06,7,,
N-06,8,,
N-06,9,,
N-06,10,,
N-06,11,,
N-06,12,,
N-07,1,,
N-07,2,,
N-07,3,,
N-07,4,,
N-07,5,,
N-07,6,,
N-07,7,,
N-07,8,,
N-07,9,,
N-07,10,,
N-07,11,,
N-07,12,,
N-08,1,,
N-08,2,,
N-08,3,,
N-08,4,,
N-08,5,,
N-08,6,,
N-08,7,,
N-08,8,,
N-08,9,,
N-08,10,,
N-08,11,,
N-08,12,,
N-09,1,,
N-09,2,,
N-09,3,,
N-09,4,,
N-09,5,,
N-09,6,,
N-09,7,,
N-09,8,,
N-09,9,,
N-09,10,,
N-09,11,,
N-09,12,,
N-10,1,,
N-10,2,,
N-10,3,,
N-10,4,,
N-10,5,,
N-10,6,,
N-10,7,,
N-10,8,,
N-10,9,,
N-10,10,,
N-10,11,,
N-10,12,,
N-11,1,,
N-11,2,,
N-11,3,,
N-11,4,,
N-11,5,,
N-11,6,,
N-11,7,,
N-11,8,,
N-11,9,,
N-11,10,,
N-11,11,,
N-11,12,,
N-12,1,,
N-12,2,,
N-12,3,,
N-12,4,,
N-12,5,,
N-12,6,,
N-12,7,,
N-12,8,,
N-12,9,,
N-12,10,,
N-12,11,,
N-12,12,,
